sample	CNV_TMB
TCGA-3C-AAAU-01	67.1171266666667
TCGA-3C-AALI-01	64.691575
TCGA-3C-AALJ-01	58.92475
TCGA-3C-AALK-01	20.7033333333333
TCGA-4H-AAAK-01	25.5898833333333
TCGA-5L-AAT0-01	11.11155
TCGA-5L-AAT1-01	8.4213
TCGA-5T-A9QA-01	56.2323666666667
TCGA-A1-A0SB-01	1.40585
TCGA-A1-A0SD-01	34.0876416666667
TCGA-A1-A0SE-01	21.9185
TCGA-A1-A0SF-01	31.8626
TCGA-A1-A0SG-01	16.108725
TCGA-A1-A0SH-01	21.193375
TCGA-A1-A0SI-01	28.2158
TCGA-A1-A0SJ-01	63.7876583333333
TCGA-A1-A0SK-01	66.8483166666667
TCGA-A1-A0SM-01	33.9113166666667
TCGA-A1-A0SN-01	54.9092333333333
TCGA-A1-A0SO-01	94.9690666666667
TCGA-A1-A0SP-01	46.847235
TCGA-A1-A0SQ-01	47.9463
TCGA-A2-A04N-01	20.56655
TCGA-A2-A04P-01	64.6883
TCGA-A2-A04Q-01	14.9771
TCGA-A2-A04R-01	60.4941333333333
TCGA-A2-A04T-01	67.8755333333333
TCGA-A2-A04U-01	91.93665
TCGA-A2-A04V-01	30.4980333333333
TCGA-A2-A04W-01	29.7491083333333
TCGA-A2-A04X-01	35.35992
TCGA-A2-A04Y-01	24.3545
TCGA-A2-A0CK-01	21.15685
TCGA-A2-A0CL-01	23.0842333333333
TCGA-A2-A0CM-01	46.6597916666667
TCGA-A2-A0CO-01	24.0298
TCGA-A2-A0CP-01	11.6253
TCGA-A2-A0CQ-01	19.05025
TCGA-A2-A0CR-01	9.11655
TCGA-A2-A0CS-01	38.6867
TCGA-A2-A0CT-01	87.8860333333333
TCGA-A2-A0CU-01	43.4240416666667
TCGA-A2-A0CV-01	36.8542333333333
TCGA-A2-A0CW-01	60.1778333333333
TCGA-A2-A0CX-01	54.55535
TCGA-A2-A0CY-01	0.8547
TCGA-A2-A0CZ-01	0.6327
TCGA-A2-A0D0-01	75.76445
TCGA-A2-A0D1-01	69.27914
TCGA-A2-A0D2-01	49.235525
TCGA-A2-A0D3-01	24.2691833333333
TCGA-A2-A0D4-01	71.8189166666667
TCGA-A2-A0EM-01	15.56185
TCGA-A2-A0EN-01	18.452325
