sample	CNV_TMB
TCGA-AB-2803-01	1.5243
TCGA-AB-2804-01	1.92255
TCGA-AB-2805-01	3.3175
TCGA-AB-2806-01	12.8358
TCGA-AB-2807-01	5.135
TCGA-AB-2808-01	1.3651
TCGA-AB-2809-01	2.3364
TCGA-AB-2810-01	2.86251666666667
TCGA-AB-2811-01	1.6862
TCGA-AB-2812-01	2.21901666666667
TCGA-AB-2813-01	38.14815
TCGA-AB-2814-01	2.07018333333333
TCGA-AB-2815-01	1.6078
TCGA-AB-2816-01	1.10191666666667
TCGA-AB-2817-01	21.3319
TCGA-AB-2818-01	1.05103333333333
TCGA-AB-2819-01	1.0082
TCGA-AB-2820-01	56.6976
TCGA-AB-2821-01	7.0982
TCGA-AB-2822-01	10.7872
TCGA-AB-2823-01	7.43555
TCGA-AB-2824-01	2.8554
TCGA-AB-2825-01	2.13451666666667
TCGA-AB-2826-01	1.55035
TCGA-AB-2827-01	1.82934166666667
TCGA-AB-2828-01	2.1395
TCGA-AB-2829-01	26.7006
TCGA-AB-2830-01	8.316375
TCGA-AB-2831-01	1.13463333333333
TCGA-AB-2832-01	1.12042
TCGA-AB-2834-01	3.37543333333333
TCGA-AB-2835-01	2.224
TCGA-AB-2836-01	1.82731666666667
TCGA-AB-2837-01	1.662
TCGA-AB-2838-01	33.45255
TCGA-AB-2839-01	1.38016666666667
TCGA-AB-2840-01	1.830875
TCGA-AB-2841-01	1.31603333333333
TCGA-AB-2842-01	1.63603333333333
TCGA-AB-2844-01	1.13721666666667
TCGA-AB-2845-01	1.1694
TCGA-AB-2846-01	1.415
TCGA-AB-2848-01	1.49835
TCGA-AB-2849-01	19.9335333333333
TCGA-AB-2850-01	1.2828
TCGA-AB-2851-01	1.20898333333333
TCGA-AB-2853-01	1.06831666666667
TCGA-AB-2854-01	1.64205
TCGA-AB-2855-01	39.4524333333333
TCGA-AB-2856-01	1.47353333333333
TCGA-AB-2857-01	28.82185
TCGA-AB-2858-01	1.34295
TCGA-AB-2859-01	1.1679
TCGA-AB-2860-01	21.4182333333333
TCGA-AB-2861-01	11.6468583333333
TCGA-AB-2862-01	2.38781666666667
TCGA-AB-2863-01	16.84015
TCGA-AB-2864-01	9.19988333333333
TCGA-AB-2865-01	11.2224583333333
TCGA-AB-2866-01	1.60301666666667
TCGA-AB-2867-01	1.39135
TCGA-AB-2868-01	20.139175
TCGA-AB-2869-01	1.21641666666667
TCGA-AB-2870-01	1.7628
TCGA-AB-2871-01	1.40398333333333
TCGA-AB-2872-01	8.927825
TCGA-AB-2873-01	1.47306666666667
TCGA-AB-2874-01	22.76925
TCGA-AB-2875-01	1.41733333333333
TCGA-AB-2877-01	1.389
TCGA-AB-2878-01	28.6594
TCGA-AB-2879-01	1.53225
TCGA-AB-2880-01	2.7608
TCGA-AB-2881-01	0.932316666666667
TCGA-AB-2882-01	15.1884833333333
TCGA-AB-2883-01	88.19535
TCGA-AB-2884-01	1.56971666666667
TCGA-AB-2885-01	49.6266
TCGA-AB-2886-01	5.78435
TCGA-AB-2887-01	16.02505
TCGA-AB-2888-01	1.06065
TCGA-AB-2889-01	1.36645
TCGA-AB-2890-01	7.50615
TCGA-AB-2892-01	1.74665
TCGA-AB-2893-01	1.7219
TCGA-AB-2894-01	16.837775
TCGA-AB-2895-01	1.3378
TCGA-AB-2896-01	1.752
TCGA-AB-2897-01	1.7948
TCGA-AB-2898-01	9.57815
TCGA-AB-2899-01	7.9701
TCGA-AB-2900-01	1.6357
TCGA-AB-2901-01	23.9461333333333
TCGA-AB-2903-01	1.06013333333333
TCGA-AB-2904-01	39.665
TCGA-AB-2905-01	1.63660833333333
TCGA-AB-2906-01	1.33185
TCGA-AB-2907-01	1.40736666666667
TCGA-AB-2908-01	28.857475
TCGA-AB-2909-01	5.9111
TCGA-AB-2910-01	9.517
TCGA-AB-2911-01	2.48833333333333
TCGA-AB-2912-01	10.5359166666667
TCGA-AB-2913-01	11.739775
TCGA-AB-2914-01	1.97131666666667
TCGA-AB-2915-01	11.9055833333333
TCGA-AB-2916-01	12.67545
TCGA-AB-2917-01	15.38165
TCGA-AB-2918-01	9.2958
TCGA-AB-2919-01	1.51475
TCGA-AB-2920-01	43.6718833333333
TCGA-AB-2921-01	1.3218
TCGA-AB-2922-01	1.91165
TCGA-AB-2923-01	9.89211666666667
TCGA-AB-2924-01	1.986575
TCGA-AB-2925-01	2.72608333333333
TCGA-AB-2926-01	11.4916166666667
TCGA-AB-2927-01	2.21345
TCGA-AB-2928-01	28.94995
TCGA-AB-2929-01	22.5404833333333
TCGA-AB-2930-01	2.138775
TCGA-AB-2931-01	1.15315
TCGA-AB-2932-01	2.782225
TCGA-AB-2933-01	13.6763
TCGA-AB-2934-01	1.57775
TCGA-AB-2935-01	22.4124
TCGA-AB-2936-01	1.5961
TCGA-AB-2937-01	2.365
TCGA-AB-2938-01	21.6282
TCGA-AB-2939-01	38.4053416666667
TCGA-AB-2940-01	3.17095
TCGA-AB-2941-01	28.2575166666667
TCGA-AB-2942-01	1.58605
TCGA-AB-2943-01	37.57625
TCGA-AB-2944-01	27.11585
TCGA-AB-2945-01	11.0927166666667
TCGA-AB-2946-01	2.86891666666667
TCGA-AB-2947-01	1.5787
TCGA-AB-2948-01	1.8476
TCGA-AB-2949-01	6.89135
TCGA-AB-2950-01	1.693375
TCGA-AB-2952-01	34.2636833333333
TCGA-AB-2954-01	5.17015
TCGA-AB-2955-01	9.81608333333333
TCGA-AB-2956-01	6.61648333333333
TCGA-AB-2957-01	2.543525
TCGA-AB-2959-01	3.38396666666667
TCGA-AB-2963-01	1.31955
