sample	CNV_TMB
TCGA-P7-A5NX-01	0.7264
TCGA-P7-A5NY-01	38.217725
TCGA-P8-A5KC-01	1.36820833333333
TCGA-P8-A5KD-01	29.1929333333333
TCGA-P8-A6RX-01	35.8300833333333
TCGA-P8-A6RY-01	29.00775
TCGA-PR-A5PF-01	45.4524
TCGA-PR-A5PG-01	33.7126333333333
TCGA-PR-A5PH-01	21.8475166666667
TCGA-QR-A6GO-01	29.2457083333333
TCGA-QR-A6GR-01	22.7216
TCGA-QR-A6GS-01	24.4183166666667
TCGA-QR-A6GT-01	33.21575
TCGA-QR-A6GU-01	27.418
TCGA-QR-A6GW-01	0.5877
TCGA-QR-A6GX-01	43.6747166666667
TCGA-QR-A6GY-01	29.29685
TCGA-QR-A6GZ-01	29.75795
TCGA-QR-A6H0-01	12.0181
TCGA-QR-A6H1-01	26.9246
TCGA-QR-A6H2-01	25.3355
TCGA-QR-A6H3-01	15.441625
TCGA-QR-A6H4-01	0.75605
TCGA-QR-A6H5-01	21.334
TCGA-QR-A6H6-01	34.3989333333333
TCGA-QR-A6ZZ-01	0.7672
TCGA-QR-A700-01	60.273385
TCGA-QR-A702-01	42.2676416666667
TCGA-QR-A703-01	0.6792
TCGA-QR-A705-01	1.1596
TCGA-QR-A706-01	17.0355833333333
TCGA-QR-A707-01	0.9889
TCGA-QR-A708-01	1.9487
TCGA-QR-A70A-01	0.7468
TCGA-QR-A70C-01	4.71535833333333
TCGA-QR-A70D-01	29.9775
TCGA-QR-A70E-01	32.26835
TCGA-QR-A70G-01	5.0814
TCGA-QR-A70H-01	90.052
TCGA-QR-A70I-01	4.03638333333333
TCGA-QR-A70J-01	22.88595
TCGA-QR-A70K-01	72.775025
TCGA-QR-A70M-01	1.2823
TCGA-QR-A70N-01	37.881325
TCGA-QR-A70O-01	0.7654
TCGA-QR-A70P-01	34.2547
TCGA-QR-A70Q-01	0.7973
TCGA-QR-A70R-01	36.799425
TCGA-QR-A70T-01	1.1992
TCGA-QR-A70U-01	0.6679
TCGA-QR-A70V-01	0.8229
TCGA-QR-A70W-01	46.3378333333333
TCGA-QR-A70X-01	19.5042833333333
TCGA-QR-A7IN-01	29.47095
TCGA-QR-A7IP-01	43.4380916666667
TCGA-QT-A5XJ-01	59.4441583333333
TCGA-QT-A5XK-01	44.1408833333333
TCGA-QT-A5XL-01	18.8774
TCGA-QT-A5XM-01	26.9996666666667
TCGA-QT-A5XN-01	60.33815
TCGA-QT-A5XO-01	36.0371666666667
TCGA-QT-A5XP-01	28.585
TCGA-QT-A69Q-01	48.76825
TCGA-QT-A7U0-01	10.8235333333333
TCGA-RM-A68T-01	29.28045
TCGA-RM-A68W-01	13.73815
TCGA-RT-A6Y9-01	27.878
TCGA-RT-A6YA-01	47.9817
TCGA-RT-A6YC-01	21.89075
TCGA-RW-A67V-01	32.28035
TCGA-RW-A67W-01	31.472325
TCGA-RW-A67X-01	23.2329833333333
TCGA-RW-A67Y-01	70.84305
TCGA-RW-A680-01	31.0049
TCGA-RW-A681-01	58.5622166666667
TCGA-RW-A684-01	21.6920333333333
TCGA-RW-A685-01	25.8183166666667
TCGA-RW-A686-01	19.672825
TCGA-RW-A688-01	39.100025
TCGA-RW-A689-01	36.2108666666667
TCGA-RW-A68A-01	56.1616
TCGA-RW-A68B-01	26.930725
TCGA-RW-A68C-01	29.17655
TCGA-RW-A68D-01	19.40995
TCGA-RW-A68F-01	22.1112
TCGA-RW-A68G-01	13.11875
TCGA-RW-A7CZ-01	11.3007833333333
TCGA-RW-A7D0-01	23.35885
TCGA-RW-A8AZ-01	36.4633
TCGA-RX-A8JQ-01	19.4268
TCGA-S7-A7WL-01	53.294
TCGA-S7-A7WM-01	28.1805333333333
TCGA-S7-A7WN-01	21.4257
TCGA-S7-A7WO-01	3.0751
TCGA-S7-A7WP-01	29.4637
TCGA-S7-A7WQ-01	39.07945
TCGA-S7-A7WR-01	69.55595
TCGA-S7-A7WT-01	26.538725
TCGA-S7-A7WU-01	17.2796
TCGA-S7-A7WV-01	4.49056666666667
TCGA-S7-A7WW-01	35.82975
TCGA-S7-A7WX-01	34.3942
TCGA-S7-A7X0-01	18.695
TCGA-S7-A7X1-01	35.4296
TCGA-S7-A7X2-01	31.3647
TCGA-SA-A6C2-01	3.13063333333333
TCGA-SP-A6QC-01	25.3789833333333
TCGA-SP-A6QD-01	19.7675
TCGA-SP-A6QF-01	27.5264333333333
TCGA-SP-A6QG-01	52.1587
TCGA-SP-A6QH-01	1.1546
TCGA-SP-A6QI-01	27.7477583333333
TCGA-SP-A6QJ-01	35.7605333333333
TCGA-SP-A6QK-01	27.0590166666667
TCGA-SQ-A6I4-01	11.9995583333333
TCGA-SQ-A6I6-01	53.7725833333333
TCGA-SR-A6MP-01	37.8031
TCGA-SR-A6MQ-01	45.221925
TCGA-SR-A6MR-01	0.6058
TCGA-SR-A6MS-01	27.3196
TCGA-SR-A6MT-01	73.35555
TCGA-SR-A6MU-01	35.7515833333333
TCGA-SR-A6MV-01	28.7484416666667
TCGA-SR-A6MX-01	89.2809307142857
TCGA-SR-A6MY-01	33.07875
TCGA-SR-A6MZ-01	26.6434333333333
TCGA-SR-A6N0-01	28.2807
TCGA-TT-A6YJ-01	52.7873066666667
TCGA-TT-A6YK-01	23.12585
TCGA-TT-A6YN-01	36.72095
TCGA-TT-A6YO-01	2.00908333333333
TCGA-TT-A6YP-01	29.4522
TCGA-W2-A7H5-01	57.205575
TCGA-W2-A7H7-01	40.6984833333333
TCGA-W2-A7HA-01	40.3845333333333
TCGA-W2-A7HB-01	39.9250333333333
TCGA-W2-A7HC-01	36.9323833333333
TCGA-W2-A7HD-01	47.533
TCGA-W2-A7HE-01	15.756725
TCGA-W2-A7HF-01	58.8774
TCGA-W2-A7HH-01	0.89315
TCGA-W2-A7UY-01	72.96205
TCGA-WB-A80K-01	15.04285
TCGA-WB-A80L-01	48.9013
TCGA-WB-A80M-01	42.8872
TCGA-WB-A80N-01	29.3586833333333
TCGA-WB-A80O-01	23.663
TCGA-WB-A80P-01	23.0116
TCGA-WB-A80Q-01	1.01055
TCGA-WB-A80V-01	63.9806
TCGA-WB-A80Y-01	28.1634416666667
TCGA-WB-A814-01	20.0680666666667
TCGA-WB-A815-01	49.25355
TCGA-WB-A816-01	25.59635
TCGA-WB-A817-01	1.1956
