sample	CNV_TMB
TCGA-3M-AB46-01	64.9028166666667
TCGA-3M-AB47-01	14.722825
TCGA-B7-5816-01	13.9783
TCGA-B7-5818-01	36.5596166666667
TCGA-B7-A5TI-01	33.7171166666667
TCGA-B7-A5TJ-01	44.6889166666667
TCGA-B7-A5TK-01	9.6362
TCGA-B7-A5TN-01	45.8933916666667
TCGA-BR-4183-01	36.884475
TCGA-BR-4184-01	32.1606166666667
TCGA-BR-4187-01	9.065
TCGA-BR-4188-01	4.03336666666667
TCGA-BR-4191-01	41.0522666666667
TCGA-BR-4201-01	7.78093333333333
TCGA-BR-4253-01	5.90523333333333
TCGA-BR-4255-01	23.6712
TCGA-BR-4256-01	4.138
TCGA-BR-4257-01	39.8634
TCGA-BR-4267-01	43.7599333333333
TCGA-BR-4279-01	17.2221
TCGA-BR-4280-01	11.4474166666667
TCGA-BR-4292-01	23.3471166666667
TCGA-BR-4294-01	86.5588
TCGA-BR-4357-01	45.9044416666667
TCGA-BR-4361-01	10.26225
TCGA-BR-4362-01	28.28875
TCGA-BR-4363-01	15.130875
TCGA-BR-4366-01	58.493725
TCGA-BR-4367-01	39.0155166666667
TCGA-BR-4368-01	25.4860333333333
TCGA-BR-4369-01	46.8545166666667
TCGA-BR-4370-01	9.35176666666667
TCGA-BR-4371-01	35.9117166666667
TCGA-BR-6452-01	10.1292416666667
TCGA-BR-6453-01	15.2249
TCGA-BR-6454-01	37.5253666666667
TCGA-BR-6455-01	17.8495833333333
TCGA-BR-6456-01	26.9317
TCGA-BR-6457-01	9.43439166666667
TCGA-BR-6458-01	31.3291566666667
TCGA-BR-6563-01	6.7086
TCGA-BR-6564-01	10.5026666666667
TCGA-BR-6565-01	39.63535
TCGA-BR-6566-01	8.93866666666666
TCGA-BR-6705-01	17.104125
TCGA-BR-6706-01	8.629245
TCGA-BR-6707-01	17.78215
TCGA-BR-6709-01	13.8741833333333
TCGA-BR-6710-01	15.731025
TCGA-BR-6801-01	40.1402083333333
TCGA-BR-6802-01	6.13183333333333
TCGA-BR-6803-01	7.42866666666667
TCGA-BR-6852-01	3.93626666666667
TCGA-BR-7196-01	10.19815
TCGA-BR-7197-01	44.755175
TCGA-BR-7703-01	7.48064166666667
TCGA-BR-7704-01	34.365025
TCGA-BR-7707-01	12.4320166666667
TCGA-BR-7715-01	48.97205
TCGA-BR-7716-01	21.9355833333333
TCGA-BR-7717-01	33.8593733333333
TCGA-BR-7722-01	16.47695
TCGA-BR-7723-01	51.3669
TCGA-BR-7851-01	7.6391
TCGA-BR-7901-01	35.9300333333333
TCGA-BR-7957-01	4.91715833333333
TCGA-BR-7958-01	17.2071
TCGA-BR-7959-01	28.7831583333333
TCGA-BR-8058-01	14.31335
TCGA-BR-8059-01	17.0688
TCGA-BR-8060-01	35.102215
TCGA-BR-8077-01	123.2551
TCGA-BR-8078-01	20.7359333333333
TCGA-BR-8080-01	19.43925
TCGA-BR-8081-01	1.89576666666667
TCGA-BR-8284-01	15.7335833333333
TCGA-BR-8285-01	11.676
TCGA-BR-8286-01	38.88575
TCGA-BR-8289-01	91.2263833333333
TCGA-BR-8291-01	17.55325
TCGA-BR-8295-01	90.47565
TCGA-BR-8296-01	45.74695
TCGA-BR-8297-01	41.34425
TCGA-BR-8360-01	15.9029166666667
TCGA-BR-8361-01	23.20765
TCGA-BR-8362-01	32.2449333333333
TCGA-BR-8363-01	6.9616
TCGA-BR-8364-01	8.7717
TCGA-BR-8365-01	16.755
TCGA-BR-8366-01	12.95
TCGA-BR-8367-01	7.59123333333333
TCGA-BR-8368-01	8.42886666666667
TCGA-BR-8369-01	28.6202666666667
