sample	CNV_TMB
TCGA-4C-A93U-01	17.2815083333333
TCGA-BJ-A0YZ-01	3.6506
TCGA-BJ-A0Z0-01	18.2689133333333
TCGA-BJ-A0Z2-01	9.56925
TCGA-BJ-A0Z3-01	1.13735
TCGA-BJ-A0Z5-01	2.54381666666667
TCGA-BJ-A0Z9-01	0.9604
TCGA-BJ-A0ZA-01	0.73825
TCGA-BJ-A0ZB-01	4.08345
TCGA-BJ-A0ZC-01	5.002825
TCGA-BJ-A0ZE-01	0.79855
TCGA-BJ-A0ZG-01	1.18766666666667
TCGA-BJ-A0ZH-01	2.22815
TCGA-BJ-A0ZJ-01	0.944066666666667
TCGA-BJ-A18Y-01	5.4528
TCGA-BJ-A18Z-01	1.13165
TCGA-BJ-A190-01	52.39615
TCGA-BJ-A191-01	0.861516666666667
TCGA-BJ-A192-01	17.1344583333333
TCGA-BJ-A28R-01	0.63325
TCGA-BJ-A28S-01	0.757383333333333
TCGA-BJ-A28T-01	1.12206666666667
TCGA-BJ-A28V-01	0.67755
TCGA-BJ-A28W-01	2.50585833333333
TCGA-BJ-A28X-01	0.711466666666667
TCGA-BJ-A28Z-01	1.74131666666667
TCGA-BJ-A290-01	14.1302
TCGA-BJ-A291-01	1.10325
TCGA-BJ-A2N7-01	0.803333333333333
TCGA-BJ-A2N8-01	2.00418333333334
TCGA-BJ-A2N9-01	27.7278
TCGA-BJ-A2NA-01	1.00976666666667
TCGA-BJ-A2P4-01	7.3629
TCGA-BJ-A3EZ-01	0.812
TCGA-BJ-A3F0-01	15.09265
TCGA-BJ-A3PR-01	0.983791666666667
TCGA-BJ-A3PT-01	2.83985
TCGA-BJ-A3PU-01	0.911266666666666
TCGA-BJ-A45C-01	8.88666666666667
TCGA-BJ-A45D-01	4.7026
TCGA-BJ-A45E-01	8.6581
TCGA-BJ-A45F-01	1.38113333333333
TCGA-BJ-A45G-01	1.09925833333333
TCGA-BJ-A45H-01	0.975933333333333
