sample	CNV_TMB
TCGA-3G-AB0O-01	2.78175
TCGA-3G-AB0Q-01	5.39745
TCGA-3G-AB0T-01	11.5552666666667
TCGA-3G-AB14-01	16.05315
TCGA-3G-AB19-01	6.78425
TCGA-3Q-A9WF-01	1.9591
TCGA-3S-A8YW-01	64.4152666666667
TCGA-3S-AAYX-01	2.84725
TCGA-3T-AA9L-01	1.3066
TCGA-4V-A9QI-01	4.26825
TCGA-4V-A9QJ-01	11.0929
TCGA-4V-A9QL-01	2.994925
TCGA-4V-A9QM-01	1.40225
TCGA-4V-A9QN-01	62.761225
TCGA-4V-A9QQ-01	3.10985
TCGA-4V-A9QR-01	21.29995
TCGA-4V-A9QS-01	17.1214666666667
TCGA-4V-A9QT-01	1.725025
TCGA-4V-A9QU-01	0.89595
TCGA-4V-A9QW-01	1.7464
TCGA-4V-A9QX-01	3.87538333333333
TCGA-4X-A9F9-01	2.56783333333333
TCGA-4X-A9FA-01	0.86565
TCGA-4X-A9FB-01	3.63579166666667
TCGA-4X-A9FC-01	0.96155
TCGA-4X-A9FD-01	29.7275
TCGA-5G-A9ZZ-01	13.0751333333333
TCGA-5K-AAAP-01	2.92595
TCGA-5U-AB0D-01	51.1228666666667
TCGA-5U-AB0E-01	22.18365
TCGA-5U-AB0F-01	3.5921
TCGA-5V-A9RR-01	1.70025
TCGA-X7-A8D6-01	0.933666666666667
TCGA-X7-A8D7-01	1.96795
TCGA-X7-A8D8-01	1.135925
TCGA-X7-A8D9-01	6.674375
TCGA-X7-A8DB-01	2.03348333333333
TCGA-X7-A8DC-01	1.11795
TCGA-X7-A8DD-01	2.10933333333333
TCGA-X7-A8DE-01	1.08265
TCGA-X7-A8DF-01	2.45575
TCGA-X7-A8DG-01	2.67431666666667
TCGA-X7-A8DI-01	1.3166
TCGA-X7-A8DJ-01	1.3148
TCGA-X7-A8M0-01	8.30205
TCGA-X7-A8M1-01	0.905433333333333
TCGA-X7-A8M3-01	83.4256333333333
TCGA-X7-A8M4-01	0.97955
TCGA-X7-A8M5-01	0.71325
TCGA-X7-A8M6-01	4.71215
TCGA-X7-A8M7-01	4.619
TCGA-X7-A8M8-01	1.35081666666667
TCGA-XH-A853-01	2.5711
TCGA-XM-A8R8-01	1.95725833333333
TCGA-XM-A8R9-01	0.981866666666667
TCGA-XM-A8RB-01	4.20445
TCGA-XM-A8RC-01	18.53105
TCGA-XM-A8RD-01	7.02531666666667
TCGA-XM-A8RE-01	1.14755
TCGA-XM-A8RF-01	10.2049666666667
TCGA-XM-A8RG-01	22.9436166666667
TCGA-XM-A8RH-01	1.59155
TCGA-XM-A8RI-01	6.4511
TCGA-XM-A8RL-01	1.45695
TCGA-XM-AAZ1-01	13.1671333333333
TCGA-XM-AAZ2-01	4.08263333333333
TCGA-XM-AAZ3-01	0.78115
TCGA-XU-A92O-01	0.76135
TCGA-XU-A92Q-01	0.9364
TCGA-XU-A92R-01	6.64466666666667
TCGA-XU-A92T-01	0.61365
TCGA-XU-A92U-01	1.18931666666667
TCGA-XU-A92V-01	3.20465
TCGA-XU-A92W-01	6.08305
TCGA-XU-A92X-01	22.45475
TCGA-XU-A92Y-01	9.6394
TCGA-XU-A92Z-01	5.71695
TCGA-XU-A930-01	34.6937666666667
TCGA-XU-A931-01	38.89555
TCGA-XU-A932-01	6.564075
TCGA-XU-A933-01	32.23935
TCGA-XU-A936-01	31.53335
TCGA-XU-AAXV-01	0.8216
TCGA-XU-AAXW-01	7.87929166666667
TCGA-XU-AAXX-01	6.64775
TCGA-XU-AAXY-01	6.2146
TCGA-XU-AAXZ-01	3.05948333333333
TCGA-XU-AAY0-01	1.42421666666667
TCGA-XU-AAY1-01	1.8998
TCGA-YT-A95D-01	5.98531666666667
TCGA-YT-A95E-01	3.3416
TCGA-YT-A95F-01	1.7236
TCGA-YT-A95G-01	12.2137
TCGA-YT-A95H-01	2.63478333333333
TCGA-ZB-A961-01	22.4696
TCGA-ZB-A962-01	16.93655
TCGA-ZB-A963-01	2.67733333333333
TCGA-ZB-A964-01	2.558475
TCGA-ZB-A965-01	0.81035
TCGA-ZB-A966-01	15.68285
TCGA-ZB-A969-01	35.0079833333333
TCGA-ZB-A96A-01	3.03533333333333
TCGA-ZB-A96B-01	1.83
TCGA-ZB-A96C-01	2.9307
TCGA-ZB-A96D-01	1.03125
TCGA-ZB-A96E-01	1.03905
TCGA-ZB-A96F-01	30.5139416666667
TCGA-ZB-A96G-01	1.47
TCGA-ZB-A96H-01	3.3364
TCGA-ZB-A96I-01	37.2194
TCGA-ZB-A96K-01	3.69316666666667
TCGA-ZB-A96L-01	32.7921666666667
TCGA-ZB-A96M-01	1.41435
TCGA-ZB-A96O-01	2.48465
TCGA-ZB-A96P-01	2.25525
TCGA-ZB-A96Q-01	1.63556666666667
TCGA-ZB-A96R-01	5.48405
TCGA-ZB-A96V-01	14.7497583333333
TCGA-ZC-AAA7-01	28.27555
TCGA-ZC-AAAA-01	9.90035
TCGA-ZC-AAAF-01	3.3413
TCGA-ZC-AAAH-01	3.09935
TCGA-ZL-A9V6-01	2.11875
TCGA-ZT-A8OM-01	2.64395
