sample	CNV_TMB
TCGA-RZ-AB0B-01	33.78375
TCGA-V3-A9ZX-01	35.6075833333333
TCGA-V3-A9ZY-01	12.8557666666667
TCGA-V4-A9E5-01	44.76165
TCGA-V4-A9E7-01	75.36605
TCGA-V4-A9E8-01	48.22265
TCGA-V4-A9E9-01	24.9277166666667
TCGA-V4-A9EA-01	16.37615
TCGA-V4-A9EC-01	7.41105
TCGA-V4-A9ED-01	27.26135
TCGA-V4-A9EE-01	41.7412416666667
TCGA-V4-A9EF-01	23.271
TCGA-V4-A9EH-01	14.81125
TCGA-V4-A9EI-01	40.9418666666667
TCGA-V4-A9EJ-01	16.4417
TCGA-V4-A9EK-01	43.92857
TCGA-V4-A9EL-01	39.369
TCGA-V4-A9EM-01	32.4942
TCGA-V4-A9EO-01	57.63155
TCGA-V4-A9EQ-01	43.5264
TCGA-V4-A9ES-01	63.195975
TCGA-V4-A9ET-01	28.15085
TCGA-V4-A9EU-01	52.6297833333333
TCGA-V4-A9EV-01	19.418
TCGA-V4-A9EW-01	19.0268166666667
TCGA-V4-A9EX-01	39.9548
TCGA-V4-A9EY-01	2.61225
TCGA-V4-A9EZ-01	56.2304833333333
TCGA-V4-A9F0-01	36.51575
TCGA-V4-A9F1-01	47.41635
TCGA-V4-A9F2-01	50.69295
TCGA-V4-A9F3-01	26.3685166666667
TCGA-V4-A9F4-01	18.48395
TCGA-V4-A9F5-01	68.96505
TCGA-V4-A9F7-01	4.20298333333333
TCGA-V4-A9F8-01	48.7292833333333
TCGA-VD-A8K7-01	10.171
TCGA-VD-A8K8-01	32.4021166666667
TCGA-VD-A8K9-01	25.634
TCGA-VD-A8KA-01	27.9683833333333
TCGA-VD-A8KB-01	20.86985
TCGA-VD-A8KD-01	24.84135
TCGA-VD-A8KE-01	22.63855
TCGA-VD-A8KF-01	40.0058
TCGA-VD-A8KG-01	31.17785
TCGA-VD-A8KH-01	49.6818166666667
TCGA-VD-A8KI-01	41.573775
TCGA-VD-A8KJ-01	30.1884325
TCGA-VD-A8KK-01	25.96125
TCGA-VD-A8KL-01	58.8319666666667
TCGA-VD-A8KM-01	16.9044666666667
TCGA-VD-A8KN-01	26.3603833333333
TCGA-VD-A8KO-01	11.1922166666667
TCGA-VD-AA8M-01	12.0637833333333
TCGA-VD-AA8N-01	41.5240833333333
TCGA-VD-AA8O-01	66.89165
TCGA-VD-AA8P-01	62.3420166666667
TCGA-VD-AA8Q-01	10.1262
TCGA-VD-AA8R-01	0.59045
TCGA-VD-AA8S-01	46.2037333333333
TCGA-VD-AA8T-01	49.11
TCGA-WC-A87T-01	5.8094
TCGA-WC-A87U-01	6.60951666666667
TCGA-WC-A87W-01	37.8821166666667
TCGA-WC-A87Y-01	19.25545
TCGA-WC-A880-01	4.23535
TCGA-WC-A881-01	32.1953
TCGA-WC-A882-01	35.751675
TCGA-WC-A883-01	54.3239166666667
TCGA-WC-A884-01	20.3635666666667
TCGA-WC-A885-01	14.5015833333333
TCGA-WC-A888-01	22.17435
TCGA-WC-A88A-01	37.6158
TCGA-WC-AA9A-01	57.36665
TCGA-WC-AA9E-01	46.3733166666667
TCGA-YZ-A980-01	13.930775
TCGA-YZ-A982-01	57.3301166666667
TCGA-YZ-A983-01	5.0496
TCGA-YZ-A984-01	55.4283
TCGA-YZ-A985-01	29.21735
