sample	CNV_TMB
TCGA-OR-A5J1-01	1125.43809035714
TCGA-OR-A5J2-01	3139.83789166667
TCGA-OR-A5J3-01	3503.76636333333
TCGA-OR-A5J4-01	4217.80780333333
TCGA-OR-A5J5-01	4751.26606666667
TCGA-OR-A5J6-01	2318.07513333333
TCGA-OR-A5J7-01	3859.73270833333
TCGA-OR-A5J8-01	1804.75318166667
TCGA-OR-A5J9-01	4014.873625
TCGA-OR-A5JA-01	3807.36305166667
TCGA-OR-A5JB-01	2722.98051333333
TCGA-OR-A5JC-01	3546.729935
TCGA-OR-A5JD-01	4182.84018333333
TCGA-OR-A5JE-01	2534.14646666667
TCGA-OR-A5JF-01	4041.18125
TCGA-OR-A5JG-01	3780.79049166667
TCGA-OR-A5JH-01	2579.75145
TCGA-OR-A5JI-01	2655.5362
TCGA-OR-A5JJ-01	4654.49679166667
TCGA-OR-A5JK-01	3381.76110833333
TCGA-OR-A5JL-01	3371.70419166667
TCGA-OR-A5JM-01	2853.14785666667
TCGA-OR-A5JO-01	63.7642916666667
TCGA-OR-A5JP-01	2615.00712166667
TCGA-OR-A5JQ-01	3814.64260833333
TCGA-OR-A5JR-01	3880.2041
TCGA-OR-A5JS-01	3269.6693
TCGA-OR-A5JT-01	4094.28059166667
TCGA-OR-A5JU-01	283.326066666667
TCGA-OR-A5JV-01	2531.69911666667
TCGA-OR-A5JW-01	4508.14736666667
TCGA-OR-A5JX-01	3768.32594
TCGA-OR-A5JY-01	3292.27810277778
TCGA-OR-A5JZ-01	3261.39955333333
TCGA-OR-A5K0-01	3556.89728333333
TCGA-OR-A5K1-01	3340.84720833333
TCGA-OR-A5K2-01	2109.55540833333
TCGA-OR-A5K3-01	3675.483875
TCGA-OR-A5K4-01	3712.31345833333
TCGA-OR-A5K5-01	3129.08789166667
TCGA-OR-A5K6-01	2607.05255
TCGA-OR-A5K8-01	5140.14036166667
TCGA-OR-A5K9-01	3489.04865166667
TCGA-OR-A5KB-01	2948.31581111111
TCGA-OR-A5KO-01	5443.96814333333
TCGA-OR-A5KP-01	2591.8912
TCGA-OR-A5KQ-01	302.926241666667
TCGA-OR-A5KS-01	4118.63214166667
TCGA-OR-A5KT-01	1222.21611666667
TCGA-OR-A5KU-01	4923.6519
TCGA-OR-A5KV-01	55.5752666666667
TCGA-OR-A5KW-01	5098.284885
TCGA-OR-A5KX-01	2906.87776119048
TCGA-OR-A5KY-01	3061.463475
TCGA-OR-A5KZ-01	3684.1134
TCGA-OR-A5L1-01	4051.68816666667
TCGA-OR-A5L2-01	2244.18921666667
TCGA-OR-A5L3-01	908.156875
TCGA-OR-A5L4-01	4464.100525
TCGA-OR-A5L5-01	2406.16864166667
TCGA-OR-A5L6-01	3307.56254166667
TCGA-OR-A5L8-01	4060.31325
TCGA-OR-A5L9-01	3116.23923333333
TCGA-OR-A5LA-01	3273.4582
TCGA-OR-A5LB-01	5604.5219
TCGA-OR-A5LC-01	4135.99316666667
TCGA-OR-A5LD-01	3110.81533833333
TCGA-OR-A5LE-01	3446.393725
TCGA-OR-A5LF-01	3443.69624
TCGA-OR-A5LG-01	3258.63750833333
TCGA-OR-A5LH-01	5811.44855333333
TCGA-OR-A5LI-01	2972.089565
TCGA-OR-A5LJ-01	4707.94058333333
TCGA-OR-A5LK-01	3861.259775
TCGA-OR-A5LL-01	3475.911525
TCGA-OR-A5LM-01	5231.29225833333
TCGA-OR-A5LN-01	3112.7611
TCGA-OR-A5LO-01	8445.29335
TCGA-OR-A5LP-01	2900.21601666667
TCGA-OR-A5LR-01	3219.66120833333
TCGA-OR-A5LS-01	5577.38737333333
TCGA-OR-A5LT-01	4919.975385
TCGA-OU-A5PI-01	5481.32657
TCGA-P6-A5OF-01	129.7322
TCGA-P6-A5OG-01	1520.52061666667
TCGA-P6-A5OH-01	2393.63848666667
TCGA-PA-A5YG-01	3030.34485833333
TCGA-PK-A5H8-01	59.1255666666667
TCGA-PK-A5H9-01	193.383008333333
TCGA-PK-A5HA-01	4150.72726666667
TCGA-PK-A5HB-01	4122.821575
TCGA-PK-A5HC-01	2663.58134
