sample	CNV_TMB
TCGA-2F-A9KO-01	1730.0831
TCGA-2F-A9KP-01	2046.75689166667
TCGA-2F-A9KQ-01	2232.014025
TCGA-2F-A9KR-01	3568.475475
TCGA-2F-A9KT-01	2106.4047
TCGA-2F-A9KW-01	2466.45420833333
TCGA-4Z-AA7M-01	3047.17325333333
TCGA-4Z-AA7N-01	287.398933333333
TCGA-4Z-AA7O-01	2134.304725
TCGA-4Z-AA7Q-01	1415.74271666667
TCGA-4Z-AA7R-01	3429.30477
TCGA-4Z-AA7S-01	2068.65196333333
TCGA-4Z-AA7W-01	1579.01524
TCGA-4Z-AA7Y-01	890.126516666667
TCGA-4Z-AA80-01	2678.603915
TCGA-4Z-AA81-01	2426.15939166667
TCGA-4Z-AA82-01	2339.0809052381
TCGA-4Z-AA83-01	1005.53740833333
TCGA-4Z-AA84-01	2781.50753619048
TCGA-4Z-AA86-01	1199.53896666667
TCGA-4Z-AA87-01	3156.26742666667
TCGA-4Z-AA89-01	1021.874225
TCGA-5N-A9KI-01	2532.73520833333
TCGA-5N-A9KM-01	1978.15772333333
TCGA-BL-A0C8-01	2555.639155
TCGA-BL-A13I-01	258.525785
TCGA-BL-A13J-01	2503.041965
TCGA-BL-A3JM-01	2374.31695
TCGA-BL-A5ZZ-01	776.968633333333
TCGA-BT-A0S7-01	1332.17635
TCGA-BT-A0YX-01	598.7105
TCGA-BT-A20J-01	2143.86418333333
TCGA-BT-A20N-01	2926.98015833333
TCGA-BT-A20O-01	288.089866666667
TCGA-BT-A20P-01	1824.76662666667
TCGA-BT-A20Q-01	1169.94261666667
TCGA-BT-A20R-01	2947.42605
TCGA-BT-A20T-01	2364.82228833333
TCGA-BT-A20U-01	345.114883333333
TCGA-BT-A20V-01	3744.46021071429
TCGA-BT-A20W-01	2041.756335
TCGA-BT-A20X-01	1366.09629
TCGA-BT-A2LA-01	3310.4435
TCGA-BT-A2LB-01	1304.85269
TCGA-BT-A2LD-01	2096.73475
TCGA-BT-A3PH-01	2604.42278333333
TCGA-BT-A3PJ-01	2548.44861666667
TCGA-BT-A3PK-01	862.81815
TCGA-BT-A42B-01	2780.00353333333
TCGA-BT-A42C-01	2578.97229833333
TCGA-BT-A42E-01	2390.46771666667
TCGA-BT-A42F-01	756.966241666667
TCGA-C4-A0EZ-01	2853.13648333333
TCGA-C4-A0F0-01	1954.52945166667
TCGA-C4-A0F1-01	112.4371
TCGA-C4-A0F6-01	2265.20655
TCGA-C4-A0F7-01	67.6945333333333
TCGA-CF-A1HR-01	1658.87036666667
TCGA-CF-A1HS-01	2540.57967166667
TCGA-CF-A27C-01	3911.991575
TCGA-CF-A3MF-01	2555.16090833333
TCGA-CF-A3MG-01	2551.36174166667
TCGA-CF-A3MH-01	2155.13275
TCGA-CF-A3MI-01	2424.136625
TCGA-CF-A47S-01	605.867775
TCGA-CF-A47T-01	537.459
TCGA-CF-A47V-01	1244.458
TCGA-CF-A47W-01	43.8100166666667
TCGA-CF-A47X-01	2799.283
TCGA-CF-A47Y-01	58.6233166666667
TCGA-CF-A5U8-01	2827.48991666667
TCGA-CF-A5UA-01	3105.03719166667
TCGA-CF-A7I0-01	1724.407125
TCGA-CF-A8HX-01	2045.98726333333
TCGA-CF-A8HY-01	2955.19984
TCGA-CF-A9FF-01	1006.45185833333
TCGA-CF-A9FH-01	1602.92480833333
TCGA-CF-A9FL-01	1229.67574166667
TCGA-CF-A9FM-01	505.953233333333
TCGA-CU-A0YN-01	1936.93673333333
TCGA-CU-A0YO-01	1006.447975
TCGA-CU-A0YR-01	2057.47008166667
TCGA-CU-A3KJ-01	2912.25799
TCGA-CU-A3QU-01	3773.31361666667
TCGA-CU-A3YL-01	1472.08750833333
TCGA-CU-A5W6-01	1782.3152
TCGA-CU-A72E-01	990.9151
TCGA-DK-A1A3-01	2250.615895
TCGA-DK-A1A5-01	2526.51355666667
TCGA-DK-A1A6-01	3660.98865813187
TCGA-DK-A1A7-01	3473.445535
TCGA-DK-A1AA-01	2339.17795
TCGA-DK-A1AB-01	2155.58590833333
TCGA-DK-A1AC-01	5744.30005833333
TCGA-DK-A1AD-01	5743.12525
TCGA-DK-A1AE-01	1484.24335952381
TCGA-DK-A1AF-01	499.2682
