sample	CNV_TMB
TCGA-3X-AAV9-01	685.938883333333
TCGA-3X-AAVA-01	2030.377225
TCGA-3X-AAVB-01	1666.90360833333
TCGA-3X-AAVC-01	2668.39545833333
TCGA-3X-AAVE-01	1467.39265166667
TCGA-4G-AAZO-01	2524.95515
TCGA-4G-AAZT-01	1382.50928166667
TCGA-W5-AA2G-01	1953.59444166667
TCGA-W5-AA2H-01	82.4699708333333
TCGA-W5-AA2I-01	1891.287385
TCGA-W5-AA2O-01	2270.79550388889
TCGA-W5-AA2Q-01	1912.70993833333
TCGA-W5-AA2R-01	1394.12635666667
TCGA-W5-AA2T-01	2656.81185833333
TCGA-W5-AA2U-01	2222.69902
TCGA-W5-AA2W-01	2754.10949166667
TCGA-W5-AA2X-01	2204.559385
TCGA-W5-AA2Z-01	2069.24015833333
TCGA-W5-AA30-01	1624.52600833333
TCGA-W5-AA31-01	1584.8392152381
TCGA-W5-AA33-01	845.054026190476
TCGA-W5-AA34-01	2208.72814555556
TCGA-W5-AA36-01	2338.74428333333
TCGA-W5-AA38-01	2384.63561666667
TCGA-W5-AA39-01	2473.79100833333
TCGA-W6-AA0S-01	3485.97011666667
TCGA-WD-A7RX-01	2104.20455333333
TCGA-YR-A95A-01	2105.46564166667
TCGA-ZD-A8I3-01	2093.12230833333
TCGA-ZH-A8Y1-01	2053.842475
TCGA-ZH-A8Y2-01	3875.01089666667
TCGA-ZH-A8Y4-01	3466.603025
TCGA-ZH-A8Y5-01	2952.79114166667
TCGA-ZH-A8Y6-01	69.1834666666667
TCGA-ZH-A8Y8-01	2169.07256666667
TCGA-ZU-A8S4-01	453.212586666667
