sample	CNV_TMB
TCGA-2H-A9GF-01	3115.44380333333
TCGA-2H-A9GG-01	52.7717833333333
TCGA-2H-A9GH-01	2201.82081166667
TCGA-2H-A9GI-01	2529.015725
TCGA-2H-A9GJ-01	2094.71510833333
TCGA-2H-A9GK-01	1707.57639666667
TCGA-2H-A9GL-01	2374.83953333333
TCGA-2H-A9GM-01	2522.39220595238
TCGA-2H-A9GN-01	3123.24431666667
TCGA-2H-A9GO-01	1948.76598333333
TCGA-2H-A9GQ-01	3046.7991152381
TCGA-2H-A9GR-01	1518.814275
TCGA-IC-A6RE-01	1073.08847277778
TCGA-IC-A6RF-01	666.133611666667
TCGA-IG-A3I8-01	1633.19886333333
TCGA-IG-A3QL-01	3137.84030833333
TCGA-IG-A3Y9-01	1461.41340166667
TCGA-IG-A3YA-01	849.900173333333
TCGA-IG-A3YB-01	2371.08009238095
TCGA-IG-A3YC-01	2803.12525
TCGA-IG-A4P3-01	2172.98117416667
TCGA-IG-A4QS-01	3293.15911166667
TCGA-IG-A4QT-01	54.3051916666667
TCGA-IG-A50L-01	2397.106605
TCGA-IG-A51D-01	1606.2606
TCGA-IG-A5B8-01	2138.40339166667
TCGA-IG-A5S3-01	2849.41138333333
TCGA-IG-A625-01	2374.94000833333
TCGA-IG-A6QS-01	2504.83677
TCGA-IG-A7DP-01	76.0333916666667
TCGA-IG-A8O2-01	2527.753075
TCGA-IG-A97H-01	2600.49033333333
TCGA-IG-A97I-01	1535.16864583333
TCGA-JY-A6F8-01	2883.337595
TCGA-JY-A6FA-01	2624.35195333333
TCGA-JY-A6FB-01	2189.2781
TCGA-JY-A6FD-01	895.352611666667
TCGA-JY-A6FE-01	3037.527865
TCGA-JY-A6FG-01	684.329141666667
TCGA-JY-A6FH-01	3673.59166666667
TCGA-JY-A938-01	1616.84237666667
TCGA-JY-A939-01	429.32575
TCGA-JY-A93C-01	2696.64204166667
TCGA-JY-A93D-01	1260.43840833333
TCGA-JY-A93E-01	2042.33459166667
TCGA-JY-A93F-01	535.436166666667
TCGA-KH-A6WC-01	338.997841666667
TCGA-L5-A43C-01	1150.1524
TCGA-L5-A43E-01	1556.43809571429
TCGA-L5-A43H-01	1748.74234642857
TCGA-L5-A43I-01	1857.09275928571
TCGA-L5-A43J-01	3247.13335833333
TCGA-L5-A43M-01	4077.18559166667
TCGA-L5-A4OE-01	2050.26666666667
TCGA-L5-A4OF-01	1668.642025
TCGA-L5-A4OG-01	2083.35363333333
TCGA-L5-A4OH-01	3437.16934714286
TCGA-L5-A4OI-01	1520.98895
TCGA-L5-A4OJ-01	2711.03816666667
TCGA-L5-A4OM-01	3090.458625
TCGA-L5-A4ON-01	2984.52473880952
TCGA-L5-A4OO-01	1498.53403833333
TCGA-L5-A4OP-01	3448.42868166667
TCGA-L5-A4OQ-01	2576.67877690476
TCGA-L5-A4OR-01	2730.74531666667
TCGA-L5-A4OS-01	1514.51630666667
TCGA-L5-A4OT-01	2319.60747
TCGA-L5-A4OU-01	1455.20351666667
TCGA-L5-A4OW-01	2018.385895
TCGA-L5-A4OX-01	1932.41555
TCGA-L5-A88S-01	1902.95346666667
TCGA-L5-A88T-01	276.749266666667
TCGA-L5-A88V-01	3589.13344
TCGA-L5-A88W-01	115.5139
TCGA-L5-A88Y-01	2296.971075
TCGA-L5-A88Z-01	2123.43140833333
TCGA-L5-A891-01	4068.65452
TCGA-L5-A893-01	1437.47301
TCGA-L5-A8NE-01	2932.78563333333
TCGA-L5-A8NF-01	3205.71371428571
TCGA-L5-A8NG-01	1433.656355
TCGA-L5-A8NH-01	1874.22608333333
TCGA-L5-A8NI-01	2660.94518833333
TCGA-L5-A8NJ-01	3216.866065
TCGA-L5-A8NK-01	1559.87814166667
TCGA-L5-A8NL-01	1460.48304666667
TCGA-L5-A8NM-01	415.063255
TCGA-L5-A8NN-01	2459.75805
TCGA-L5-A8NQ-01	912.364025
TCGA-L5-A8NR-01	2366.74592333333
TCGA-L5-A8NS-01	2068.69283333333
TCGA-L5-A8NT-01	2401.96154166667
TCGA-L5-A8NU-01	836.643158333333
TCGA-L5-A8NV-01	1665.22691
TCGA-L5-A8NW-01	2552.35410333333
TCGA-L7-A56G-01	3003.067035
TCGA-L7-A6VZ-01	2963.52821333333
TCGA-LN-A49K-01	2728.75839
TCGA-LN-A49L-01	3444.39174666667
TCGA-LN-A49M-01	3016.80208166667
TCGA-LN-A49N-01	1808.41656666667
TCGA-LN-A49O-01	2399.74258
TCGA-LN-A49P-01	1565.78364166667
TCGA-LN-A49R-01	2669.9021047619
TCGA-LN-A49S-01	2154.967325
TCGA-LN-A49U-01	2427.178725
TCGA-LN-A49V-01	3719.47191166667
TCGA-LN-A49W-01	1882.81111428571
TCGA-LN-A49X-01	1239.22578166667
TCGA-LN-A49Y-01	4708.49809833333
TCGA-LN-A4A1-01	2998.9335575
TCGA-LN-A4A2-01	2521.01014166667
TCGA-LN-A4A3-01	1821.55679166667
TCGA-LN-A4A4-01	3026.26306333333
TCGA-LN-A4A5-01	1278.06765833333
TCGA-LN-A4A6-01	2273.60889166667
TCGA-LN-A4A8-01	2267.1667
TCGA-LN-A4A9-01	2442.95072333333
TCGA-LN-A4MQ-01	2852.7338
TCGA-LN-A4MR-01	2259.65018333333
TCGA-LN-A5U5-01	2288.23842551282
TCGA-LN-A5U6-01	3819.32063119048
TCGA-LN-A5U7-01	3180.9598625
TCGA-LN-A7HV-01	2602.60888166667
TCGA-LN-A7HW-01	3374.75728166667
TCGA-LN-A7HX-01	5624.65944833333
TCGA-LN-A7HY-01	2597.40627142857
TCGA-LN-A7HZ-01	2610.14436944444
TCGA-LN-A8HZ-01	2658.47994166667
TCGA-LN-A8I0-01	2262.727
TCGA-LN-A8I1-01	3477.02485809524
TCGA-LN-A9FO-01	2518.15245
TCGA-LN-A9FP-01	627.221966666667
TCGA-LN-A9FQ-01	3264.74214738095
TCGA-LN-A9FR-01	2352.82996333333
TCGA-M9-A5M8-01	2647.76548666667
TCGA-Q9-A6FU-01	2992.90033
TCGA-Q9-A6FW-01	1324.60726666667
TCGA-R6-A6DN-01	3507.191725
TCGA-R6-A6DQ-01	2057.91756666667
TCGA-R6-A6KZ-01	2100.72848
TCGA-R6-A6L4-01	2740.34571333333
TCGA-R6-A6L6-01	1468.46253333333
TCGA-R6-A6XG-01	2666.87459166667
TCGA-R6-A6XQ-01	2525.47197416667
TCGA-R6-A6Y0-01	1828.28135166667
TCGA-R6-A6Y2-01	1608.80448333333
TCGA-R6-A8W5-01	1685.84434666667
TCGA-R6-A8W8-01	3096.62314166667
TCGA-R6-A8WC-01	3385.29915833333
TCGA-R6-A8WG-01	2404.73785
TCGA-RE-A7BO-01	1849.25958833333
TCGA-S8-A6BV-01	2381.05413333333
TCGA-S8-A6BW-01	3153.53786428571
TCGA-V5-A7RB-01	1602.74613833333
TCGA-V5-A7RC-01	3792.2075945671
TCGA-V5-A7RE-01	2730.23960753968
TCGA-V5-AASV-01	2231.58277333333
TCGA-V5-AASW-01	3014.93199
TCGA-V5-AASX-01	2874.54545785714
TCGA-VR-A8EO-01	3292.09455833333
TCGA-VR-A8EP-01	2191.16407
TCGA-VR-A8EQ-01	1827.86849666667
TCGA-VR-A8ER-01	2839.91678166667
TCGA-VR-A8ET-01	703.981791666667
TCGA-VR-A8EU-01	2028.31849166667
TCGA-VR-A8EW-01	2674.82846607143
TCGA-VR-A8EX-01	1521.51129166667
TCGA-VR-A8EY-01	3064.90066666667
TCGA-VR-A8EZ-01	2791.81768015873
TCGA-VR-A8Q7-01	2056.06173333333
TCGA-VR-AA4D-01	2843.83423333333
TCGA-VR-AA4G-01	1532.33711666667
TCGA-VR-AA7B-01	3007.69706833333
TCGA-VR-AA7D-01	2086.39339166667
TCGA-VR-AA7I-01	2122.45957666667
TCGA-X8-AAAR-01	2770.27058333333
TCGA-XP-A8T6-01	2201.57326824675
TCGA-XP-A8T7-01	1610.04346904762
TCGA-XP-A8T8-01	2920.56670333333
TCGA-Z6-A8JD-01	1012.54587166667
TCGA-Z6-A8JE-01	2716.78402833333
TCGA-Z6-A9VB-01	2664.63840916667
TCGA-Z6-AAPN-01	1852.57646666667
TCGA-ZR-A9CJ-01	2177.718375
