sample	CNV_TMB
TCGA-N5-A4R8-01	56.7087666666667
TCGA-N5-A4RA-01	3499.28846833333
TCGA-N5-A4RD-01	3534.84575
TCGA-N5-A4RF-01	2227.65471666667
TCGA-N5-A4RJ-01	2913.92617452381
TCGA-N5-A4RM-01	3675.21113666667
TCGA-N5-A4RN-01	3846.812675
TCGA-N5-A4RO-01	3948.83882666667
TCGA-N5-A4RS-01	5213.82393333333
TCGA-N5-A4RT-01	4300.28810333333
TCGA-N5-A4RU-01	3263.88671666667
TCGA-N5-A4RV-01	3489.05724833333
TCGA-N5-A59E-01	3914.83555833333
TCGA-N5-A59F-01	2871.56136666667
TCGA-N6-A4V9-01	4413.78267833333
TCGA-N6-A4VC-01	3617.74833333333
TCGA-N6-A4VD-01	624.427958333333
TCGA-N6-A4VE-01	3787.04375833333
TCGA-N6-A4VF-01	1868.20574166667
TCGA-N6-A4VG-01	3527.06046666667
TCGA-N7-A4Y0-01	2177.87535833333
TCGA-N7-A4Y5-01	4121.10216666667
TCGA-N7-A4Y8-01	4267.27920333333
TCGA-N7-A59B-01	3774.15015
TCGA-N8-A4PI-01	2164.34165833333
TCGA-N8-A4PL-01	3601.4157
TCGA-N8-A4PM-01	2687.98661666667
TCGA-N8-A4PN-01	4159.47081
TCGA-N8-A4PO-01	4884.959725
TCGA-N8-A4PP-01	2601.41794333333
TCGA-N8-A4PQ-01	3188.863375
TCGA-N8-A56S-01	2843.02354166667
TCGA-N9-A4PZ-01	4240.00666666667
TCGA-N9-A4Q1-01	4980.78110833333
TCGA-N9-A4Q3-01	4440.27671666667
TCGA-N9-A4Q4-01	4591.46464166667
TCGA-N9-A4Q7-01	1817.06460833333
TCGA-N9-A4Q8-01	3887.87870833333
TCGA-NA-A4QV-01	3899.04521666667
TCGA-NA-A4QW-01	3856.41599833333
TCGA-NA-A4QX-01	3453.230675
TCGA-NA-A4QY-01	4003.00889166667
TCGA-NA-A4R0-01	1825.90504166667
TCGA-NA-A4R1-01	5409.73055
TCGA-NA-A5I1-01	3477.42605333333
TCGA-ND-A4W6-01	2163.76814166667
TCGA-ND-A4WA-01	4090.13150666667
TCGA-ND-A4WC-01	552.026408333333
TCGA-ND-A4WF-01	3861.7287147619
TCGA-NF-A4WU-01	2751.289275
TCGA-NF-A4WX-01	6846.45151666667
TCGA-NF-A4X2-01	2817.55376666667
TCGA-NF-A5CP-01	1993.55893333333
TCGA-NG-A4VU-01	4335.93699833333
TCGA-NG-A4VW-01	1443.94355
TCGA-QM-A5NM-01	3916.29153333333
TCGA-QN-A5NN-01	3401.07266666667
